,Average N of H (positive z),Average N of H (negative z),Average Density (positive z),Average Density (negative z)
0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0003333333333333333,0.0,2.540612477994075e-05,0.0
1.25,0.004333333333333333,0.003,0.00033027962213922973,0.00022865512301946674
1.375,0.050333333333333334,0.03933333333333333,0.0038363248417710534,0.002997922724033008
1.5,0.369,0.347,0.028124580131394402,0.02644777589591832
1.625,1.6143333333333334,1.4676666666666667,0.12304186230925304,0.11186316740607911
1.75,4.232333333333333,3.9286666666666665,0.3225815663309076,0.2994365866563816
1.875,7.709,7.363333333333333,0.5875674477856897,0.5612212963888912
2.0,11.044333333333332,10.793666666666667,0.8417811323337767,0.8226757264992614
2.125,13.538333333333334,13.318666666666667,1.0318697579372935,1.0151271217073126
2.249999999999999,14.297,14.425333333333333,1.0896940979364387,1.099475455976716
2.374999999999999,14.267333333333333,14.548,1.087432952831024,1.1088249098957341
2.499999999999999,13.703,14.032666666666668,1.0444203835785841,1.0695470409859456
2.624999999999999,14.505333333333333,14.874666666666666,1.1055729259239016,1.1337229121800758
2.749999999999999,17.030666666666665,17.055,1.2980497272567326,1.2999043743656682
2.874999999999999,20.794333333333334,20.847333333333335,1.5849102821470438,1.5889498559870543
2.999999999999999,24.14966666666667,23.663666666666668,1.840648334181927,1.8036062042527736
3.124999999999999,25.268,24.942,1.9258858828186285,1.9010386927838463
3.249999999999999,24.272666666666666,24.246,1.8500231942257253,1.8479907042433301
3.374999999999999,20.977,21.106333333333332,1.5988328385264512,1.6086904149410681
3.499999999999999,16.783666666666665,16.712333333333333,1.2792237887947966,1.2737868780918893
3.624999999999999,12.957333333333333,12.833666666666666,0.9875868824458568,0.9781612101524987
3.749999999999999,10.312333333333333,10.370333333333333,0.7859892823170268,0.7904099480287365
3.874999999999999,8.812,9.041666666666666,0.6716363146825135,0.6891411346558928
3.999999999999999,8.299,8.192666666666666,0.6325362886461848,0.6244317348413836
4.124999999999999,8.124333333333333,8.164,0.6192234792614958,0.6222468081103087
4.249999999999999,8.589,8.382,0.6546396172047333,0.6388624137163901
4.374999999999999,9.300333333333333,9.062,0.7088562874851267,0.690690908267469
4.499999999999999,10.279333333333334,10.054,0.7834740759638128,0.7662995356125729
4.624999999999999,11.125333333333334,11.105,0.8479548206553025,0.846405047043726
4.749999999999999,12.236333333333333,12.046666666666667,0.9326334345468448,0.9181773495470585
4.874999999999999,13.004666666666667,13.033333333333333,0.9911945521646085,0.9933794788956833
4.999999999999999,13.694,13.591666666666667,1.0437344182095258,1.035934737902084
5.124999999999999,14.092333333333332,13.926666666666666,1.074094737321555,1.0614678933059243
5.249999999999999,14.292333333333334,14.228,1.0893384121895195,1.0844350301069907
5.374999999999999,14.283,14.251333333333333,1.0886270406956808,1.0862134588415866
5.499999999999999,14.022,14.068,1.0687340449929876,1.0722400902126192
5.624999999999999,13.796333333333333,13.763,1.0515340985169677,1.0489934860389734
5.749999999999999,13.649333333333333,13.556666666666667,1.0403299974890137,1.0332670948001903
5.874999999999999,13.330666666666668,13.185,1.0160417421993906,1.0049392656705565
5.999999999999999,13.165,12.956,1.0034148981837598,0.9874852579467369
6.124999999999999,13.075333333333333,12.497333333333334,0.9965806506179558,0.9525264302495385
6.249999999999999,13.113666666666667,12.377333333333333,0.9995023549676489,0.9433802253287599
6.374999999999999,12.949666666666667,12.303,0.9870025415759183,0.937714659502833
6.499999999999999,13.010666666666667,12.088333333333333,0.9916518624106474,0.9213531151445513
6.624999999999999,12.907666666666668,11.864,0.9838013698536455,0.9042547931676512
6.749999999999999,12.768666666666666,11.724,0.9732070158204104,0.893584220760076
6.874999999999999,12.898666666666667,11.522333333333334,0.9831154044845872,0.8782135152682118
6.999999999999999,12.619333333333334,11.226666666666667,0.9618250719189968,0.8556782825884043
7.124999999999999,12.623,11.119333333333334,0.9621045392915762,0.8474975104092636
7.249999999999999,12.461333333333334,10.728333333333333,0.949782568773305,0.8176961260423931
7.374999999999999,12.432333333333334,10.206666666666667,0.9475722359174502,0.7779355407617857
7.499999999999999,12.277666666666667,9.542666666666667,0.9357837940195576,0.7273265402001438
7.624999999999999,12.064,9.171666666666667,0.9194984680356155,0.6990495233200696
7.749999999999999,11.676333333333334,8.631666666666666,0.8899511449165444,0.6578916011765655
7.874999999999999,11.567666666666666,8.126333333333333,0.8816687482382838,0.6193759160101755
7.999999999999999,11.036,7.503333333333333,0.8411459792142782,0.5718918687964663
8.125,10.695666666666666,7.004333333333333,0.8152063258139587,0.5338589000008949
8.25,2.8333333333333335,1.8223333333333334,0.21595206062949635,0.13889528417193606
