,Average N of H (positive z),Average N of H (negative z),Average Density (positive z),Average Density (negative z)
0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0
1.25,0.0006666666666666666,0.0,5.08122495598815e-05,0.0
1.375,0.003,0.0013333333333333333,0.00022865512301946674,0.000101624499119763
1.5,0.026,0.025333333333333333,0.001981677732835378,0.0019308654832754968
1.625,0.11433333333333333,0.10566666666666667,0.008714300799519676,0.008053741555241217
1.75,0.3313333333333333,0.305,0.0252536880312611,0.023246604173645786
1.875,0.6576666666666666,0.6016666666666667,0.050126284190823094,0.04585805522779305
2.0,1.0276666666666667,0.9293333333333333,0.07832708269655733,0.07083227588647481
2.125,1.3306666666666667,1.1286666666666667,0.10142125012152346,0.08602513850487938
2.249999999999999,1.4326666666666668,1.174,0.10919552430418533,0.0894803714749513
2.374999999999999,1.3346666666666667,1.1713333333333333,0.10172612361888277,0.0892771224767118
2.499999999999999,1.2893333333333334,1.0933333333333333,0.09827089064881084,0.08333208927820566
2.624999999999999,1.312,1.0846666666666667,0.09999850713384678,0.08267153003392719
2.749999999999999,1.3793333333333333,1.1456666666666666,0.10513054433939481,0.08732085086865635
2.874999999999999,1.4596666666666667,1.2333333333333334,0.11125342041136053,0.09400266168578078
2.999999999999999,1.6266666666666667,1.323,0.12398188892611087,0.10083690925158482
3.124999999999999,1.6996666666666667,1.3883333333333334,0.12954583025291785,0.10581650970845323
3.249999999999999,1.6643333333333334,1.405,0.12685278102624417,0.10708681594745026
3.374999999999999,1.5176666666666667,1.2706666666666666,0.11567408612307022,0.09684814766113413
3.499999999999999,1.17,1.028,0.08917549797759201,0.07835248882133727
3.624999999999999,0.794,0.714,0.06051738922581887,0.054419919278633086
3.749999999999999,0.465,0.4086666666666667,0.03544154406801735,0.031147908980207358
3.874999999999999,0.277,0.21933333333333332,0.021112489692130764,0.016717230105201014
3.999999999999999,0.17266666666666666,0.11766666666666667,0.013160372636009306,0.008968362047319083
4.124999999999999,0.12333333333333334,0.08,0.009400266168578078,0.00609746994718578
4.249999999999999,0.09666666666666666,0.05333333333333334,0.007367776186182816,0.00406497996479052
4.374999999999999,0.077,0.05333333333333334,0.005868814824166312,0.00406497996479052
4.499999999999999,0.07466666666666667,0.04566666666666667,0.005690971950706728,0.0034806390948518826
4.624999999999999,0.064,0.037333333333333336,0.004877975957748625,0.002845485975353364
4.749999999999999,0.05466666666666667,0.037,0.0041666044639102826,0.0028200798505734225
4.874999999999999,0.053,0.03333333333333333,0.004039573840010579,0.0025406124779940747
4.999999999999999,0.046,0.03133333333333333,0.003506045219631823,0.0023881757293144302
5.124999999999999,0.04766666666666667,0.028666666666666667,0.0036330758435315275,0.0021849267310749044
5.249999999999999,0.04133333333333333,0.026,0.0031503594727126526,0.001981677732835378
5.374999999999999,0.031,0.023333333333333334,0.0023627696045344895,0.0017784287345958523
5.499999999999999,0.033,0.021666666666666667,0.0025152063532141345,0.0016513981106961487
5.624999999999999,0.034666666666666665,0.020666666666666667,0.002642236977113838,0.0015751797363563263
5.749999999999999,0.03,0.014333333333333333,0.0022865512301946675,0.0010924633655374522
5.874999999999999,0.020666666666666667,0.01,0.0015751797363563263,0.0007621837433982225
5.999999999999999,0.018666666666666668,0.009333333333333334,0.001422742987676682,0.000711371493838341
6.124999999999999,0.012666666666666666,0.006333333333333333,0.0009654327416377484,0.0004827163708188742
6.249999999999999,0.007,0.005,0.0005335286203787558,0.00038109187169911124
6.374999999999999,0.004666666666666667,0.0036666666666666666,0.0003556857469191705,0.00027946737257934827
6.499999999999999,0.0023333333333333335,0.002,0.00017784287345958525,0.00015243674867964453
6.624999999999999,0.0033333333333333335,0.0006666666666666666,0.0002540612477994075,5.08122495598815e-05
6.749999999999999,0.0036666666666666666,0.0006666666666666666,0.00027946737257934827,5.08122495598815e-05
6.874999999999999,0.0016666666666666668,0.0006666666666666666,0.00012703062389970375,5.08122495598815e-05
6.999999999999999,0.0023333333333333335,0.0006666666666666666,0.00017784287345958525,5.08122495598815e-05
7.124999999999999,0.001,0.0006666666666666666,7.621837433982226e-05,5.08122495598815e-05
7.249999999999999,0.001,0.0003333333333333333,7.621837433982226e-05,2.540612477994075e-05
7.374999999999999,0.001,0.0,7.621837433982226e-05,0.0
7.499999999999999,0.0,0.0,0.0,0.0
7.624999999999999,0.0,0.0003333333333333333,0.0,2.540612477994075e-05
7.749999999999999,0.0003333333333333333,0.0,2.540612477994075e-05,0.0
7.874999999999999,0.0,0.0,0.0,0.0
7.999999999999999,0.0,0.0,0.0,0.0
8.125,0.0006666666666666666,0.0003333333333333333,5.08122495598815e-05,2.540612477994075e-05
8.25,0.0,0.0,0.0,0.0
